X,Y,L
-174106.35821306624,744606.4238531515,n2133
-174105.12262417693,744606.4780737712,n2134
-174103.15263352936,744606.1329117101,n2135
-174101.1826428818,744605.7877496488,n2136
-174099.21265223422,744605.4425875876,n2137
-174097.24266158664,744605.0974255265,n2138
-174095.27267093907,744604.7522634653,n2139
-174093.30268029153,744604.407101404,n2140
-174091.33268964395,744604.0619393429,n2141
-174090.0356607461,744603.8346869098,n2142
-174088.08415668985,744603.3969290791,n2143
-174086.13265263356,744602.9591712484,n2144
-174084.1811485773,744602.5214134175,n2145
-174082.22964452102,744602.0836555868,n2146
-174080.27814046477,744601.6458977561,n2147
-174078.3266364085,744601.2081399254,n2148
-174076.37513235223,744600.7703820947,n2149
-174074.42362829598,744600.3326242638,n2150
-174072.4721242397,744599.8948664331,n2151
-174071.9735764208,744599.7830330956,n2152
-174297.5635006355,744650.7702600763,n2153
-174296.7763085684,744648.9316930665,n2154
-174295.98911650133,744647.0931260566,n2155
-174295.20192443422,744645.2545590468,n2156
-174294.41473236715,744643.415992037,n2157
-174293.62754030005,744641.5774250273,n2158
-174292.84034823297,744639.7388580175,n2159
-174292.05315616587,744637.9002910077,n2160
-174291.2659640988,744636.0617239978,n2161
-174290.4787720317,744634.223156988,n2162
-174289.69157996462,744632.3845899783,n2163
-174288.90438789755,744630.5460229685,n2164
-174288.11719583045,744628.7074559587,n2165
-174287.33000376337,744626.8688889489,n2166
-174286.54281169627,744625.030321939,n2167
-174285.7556196292,744623.1917549293,n2168
-174284.55229126784,744620.3989284718,n2169
-174283.75871080498,744618.56310984,n2170
-174282.96513034208,744616.7272912082,n2171
-174282.17154987922,744614.8914725763,n2172
-174281.37796941635,744613.0556539445,n2173
-174280.5843889535,744611.2198353127,n2174
-174279.79080849062,744609.3840166809,n2175
-174278.99722802776,744607.5481980491,n2176
-174278.20364756486,744605.7123794173,n2177
-174277.410067102,744603.8765607855,n2178
-174277.4025085418,744603.8590752924,n2179
-174276.6408000437,744602.0098051217,n2180
-174275.87909154565,744600.1605349511,n2181
-174275.11738304756,744598.3112647805,n2182
-174274.3556745495,744596.4619946099,n2183
-174273.5939660514,744594.6127244392,n2184
-174272.83225755335,744592.7634542686,n2185
-174272.45713884875,744591.852743895,n2186
-174271.85183719656,744589.9465408864,n2187
-174271.24653554437,744588.0403378779,n2188
-174270.64123389218,744586.1341348693,n2189
-174270.03593223996,744584.2279318608,n2190
-174269.43063058777,744582.3217288522,n2191
-174268.9289622337,744580.7418856082,n2192
-174268.35647435373,744578.8255720568,n2193
-174267.78398647372,744576.9092585054,n2194
-174267.21149859374,744574.992944954,n2195
-174266.63901071373,744573.0766314026,n2196
-174266.62429706525,744573.0273797679,n2197
-174266.03647144296,744571.1157153,n2198
-174265.7813761501,744570.2861213033,n2199
-174265.48645025605,744568.3079861419,n2200
-174265.19152436202,744566.3298509804,n2201
-174264.89659846798,744564.351715819,n2202
-174264.60167257395,744562.3735806574,n2203
-174264.32011115187,744560.4850840542,n2204
-174297.92737390805,744600.776290496,n2205
-174295.9495585615,744601.0733535447,n2206
-174293.97174321493,744601.3704165935,n2207
-174291.99392786837,744601.6674796422,n2208
-174290.01611252181,744601.9645426909,n2209
-174288.03829717526,744602.2616057396,n2210
-174286.0604818287,744602.5586687884,n2211
-174284.08266648214,744602.8557318371,n2212
-174282.10485113558,744603.1527948858,n2213
-174280.12703578902,744603.4498579345,n2214
-174278.14922044246,744603.7469209833,n2215
-174276.3633104069,744605.5678957149,n2216
-174275.324112272,744607.2767161374,n2217
-174274.2849141371,744608.98553656,n2218
-174273.24571600222,744610.6943569825,n2219
-174272.213891905,744612.3910517999,n2220
-174271.0517844121,744614.0187821753,n2221
-174269.88967691918,744615.6465125507,n2222
-174268.7275694263,744617.274242926,n2223
-174267.56546193338,744618.9019733014,n2224
-174266.40335444047,744620.5297036768,n2225
-174265.73270686896,744621.4690603456,n2226
-174264.2211544797,744622.778720368,n2227
-174262.7096020904,744624.0883803905,n2228
-174261.1980497011,744625.3980404129,n2229
-174257.86889327786,744626.14020373,n2230
-174255.921308356,744625.6853268542,n2231
-174253.97372343414,744625.2304499784,n2232
-174252.02613851227,744624.7755731025,n2233
-174250.07855359043,744624.3206962268,n2234
-174248.13096866856,744623.8658193509,n2235
-174246.1833837467,744623.4109424751,n2236
-174244.23579882484,744622.9560655993,n2237
-174243.58344012452,744622.8037010558,n2238
-174241.9100875693,744621.7083055903,n2239
-174240.2367350141,744620.6129101247,n2240
-174238.56338245887,744619.5175146592,n2241
-174237.14069679182,744618.5862085673,n2242
-174235.43640653585,744617.5395975013,n2243
-174233.7321162799,744616.4929864353,n2244
-174232.02782602393,744615.4463753693,n2245
-174270.50800240095,744592.3009258981,n2246
-174269.67280134704,744592.4929709864,n2247
-174288.85530457157,744555.2067587128,n2248
-174289.41659066756,744553.2871342915,n2249
-174289.97787676356,744551.3675098703,n2250
-174290.53916285955,744549.4478854492,n2251
-174291.10044895555,744547.528261028,n2252
-174291.66173505154,744545.6086366067,n2253
-174292.22302114754,744543.6890121856,n2254
-174292.78430724354,744541.7693877644,n2255
-174293.17702129437,744540.4262875381,n2256
-174292.87772005366,744538.4488096578,n2257
-174292.57841881298,744536.4713317774,n2258
-174292.27911757227,744534.4938538971,n2259
-174291.97981633156,744532.5163760167,n2260
-174291.68051509088,744530.5388981364,n2261
-174291.61788987982,744530.1251345004,n2262
-174291.33342762367,744528.1454675525,n2263
-174291.04896536752,744526.1658006045,n2264
-174290.76450311136,744524.1861336565,n2265
-174290.4800408552,744522.2064667087,n2266
-174290.19557859906,744520.2267997607,n2267
-174290.10898940355,744519.6241969033,n2268
-174290.79569144806,744517.745782598,n2269
-174291.48239349254,744515.8673682929,n2270
-174292.16909553704,744513.9889539876,n2271
-174292.85579758155,744512.1105396824,n2272
-174293.54249962603,744510.2321253772,n2273
-174294.22920167053,744508.3537110719,n2274
-174294.76354528646,744506.8920601272,n2275
-174296.73524001724,744506.5567693748,n2276
-174298.70693474798,744506.2214786223,n2277
-174300.67862947876,744505.8861878698,n2278
-174302.6503242095,744505.5508971175,n2279
-174304.62201894028,744505.215606365,n2280
-174306.59371367106,744504.8803156125,n2281
-174308.5654084018,744504.5450248601,n2282
-174310.53710313258,744504.2097341076,n2283
-174312.50879786332,744503.8744433551,n2284
-174314.4804925941,744503.5391526028,n2285
-174316.45218732487,744503.2038618503,n2286
-174317.22983231215,744503.0716217175,n2287
-174319.201526926,744502.7363302774,n2288
-174321.1732215398,744502.4010388373,n2289
-174323.14491615363,744502.0657473971,n2290
-174325.11661076744,744501.7304559571,n2291
-174327.08830538127,744501.395164517,n2292
-174329.0599999951,744501.0598730769,n2293
-174331.03169460892,744500.7245816367,n2294
-174331.44891767146,744500.6536318454,n2295
-174333.42061220124,744500.318339911,n2296
-174335.39230673102,744499.9830479767,n2297
-174337.3640012608,744499.6477560424,n2298
-174339.3356957906,744499.3124641081,n2299
-174341.30739032038,744498.9771721738,n2300
-174343.27908485016,744498.6418802395,n2301
-174343.59672229958,744498.5878651406,n2302
-174345.56434899618,744498.2294726424,n2303
-174347.5319756928,744497.8710801442,n2304
-174349.4996023894,744497.5126876459,n2305
-174351.467229086,744497.1542951476,n2306
-174353.43485578263,744496.7959026494,n2307
-174355.40248247923,744496.4375101512,n2308
-174357.37010917583,744496.079117653,n2309
-174359.33773587242,744495.7207251546,n2310
-174361.30536256905,744495.3623326564,n2311
-174363.27298926565,744495.0039401582,n2312
-174365.24061596225,744494.64554766,n2313
-174367.20824265887,744494.2871551616,n2314
-174369.17586935547,744493.9287626634,n2315
-174371.14349605207,744493.5703701652,n2316
-174373.1111227487,744493.211977667,n2317
-174375.0787494453,744492.8535851687,n2318
-174377.0463761419,744492.4951926704,n2319
-174379.0140028385,744492.1368001722,n2320
-174380.98162953512,744491.7784076739,n2321
-174382.94925623172,744491.4200151757,n2322
-174384.91688292832,744491.0616226775,n2323
-174386.88450962494,744490.7032301791,n2324
-174387.91878302503,744490.5148429062,n2325
-174389.8864095187,744490.1564492937,n2326
-174391.85403601234,744489.7980556813,n2327
-174393.82166250603,744489.4396620688,n2328
-174395.7892889997,744489.0812684564,n2329
-174397.75691549334,744488.722874844,n2330
-174399.724541987,744488.3644812315,n2331
-174401.69216848066,744488.0060876191,n2332
-174403.01331731922,744487.7654467727,n2333
-174404.98344934772,744487.4210926088,n2334
-174406.95358137626,744487.0767384449,n2335
-174408.92371340477,744486.732384281,n2336
-174410.8938454333,744486.3880301171,n2337
-174412.86397746182,744486.0436759532,n2338
-174414.83410949036,744485.6993217893,n2339
-174416.80424151887,744485.3549676255,n2340
-174418.7743735474,744485.0106134616,n2341
-174420.74450557592,744484.6662592976,n2342
-174422.71463760445,744484.3219051338,n2343
-174424.68476963296,744483.9775509699,n2344
-174426.65490166147,744483.633196806,n2345
-174428.62503369,744483.2888426421,n2346
-174430.59516571852,744482.9444884782,n2347
-174432.56529774706,744482.6001343143,n2348
-174434.53542977557,744482.2557801504,n2349
-174436.5055618041,744481.9114259866,n2350
-174438.47569383262,744481.5670718227,n2351
-174440.44582586116,744481.2227176587,n2352
-174442.41595788967,744480.8783634949,n2353
-174444.3860899182,744480.534009331,n2354
-174446.3562219467,744480.189655167,n2355
-174448.32635397525,744479.8453010032,n2356
-174450.29648600376,744479.5009468393,n2357
-174452.26661803227,744479.1565926754,n2358
-174454.2367500608,744478.8122385115,n2359
-174456.20688208932,744478.4678843477,n2360
-174458.17701411786,744478.1235301837,n2361
-174460.14714614637,744477.7791760198,n2362
-174462.1172781749,744477.434821856,n2363
-174464.0874102034,744477.0904676921,n2364
-174466.05754223195,744476.7461135281,n2365
-174468.02767426046,744476.4017593643,n2366
-174469.997806289,744476.0574052004,n2367
-174471.9679383175,744475.7130510365,n2368
-174473.93807034602,744475.3686968726,n2369
-174475.90820237456,744475.0243427088,n2370
-174477.87833440307,744474.6799885448,n2371
-174479.8484664316,744474.3356343809,n2372
-174481.81859846012,744473.9912802171,n2373
-174483.78873048865,744473.6469260531,n2374
-174485.75886251716,744473.3025718892,n2375
-174487.7289945457,744472.9582177254,n2376
-174489.6991265742,744472.6138635615,n2377
-174491.66925860275,744472.2695093976,n2378
-174493.63939063126,744471.9251552337,n2379
-174495.6095226598,744471.5808010699,n2380
-174497.5796546883,744471.2364469059,n2381
-174499.54978671682,744470.892092742,n2382
-174501.51991874535,744470.5477385782,n2383
-174292.78712574212,744507.1982721203,n2384
-174290.81070619778,744507.5044841135,n2385
-174288.83428665344,744507.8106961066,n2386
-174286.8578671091,744508.1169080997,n2387
-174284.88144756475,744508.4231200928,n2388
-174282.9050280204,744508.729332086,n2389
-174280.92860847607,744509.0355440791,n2390
-174278.95218893173,744509.3417560722,n2391
-174276.97576938738,744509.6479680655,n2392
-174274.99934984304,744509.9541800586,n2393
-174273.0229302987,744510.2603920517,n2394
-174271.04651075436,744510.5666040449,n2395
-174269.07009121001,744510.872816038,n2396
-174267.09367166567,744511.1790280311,n2397
-174265.11725212133,744511.4852400242,n2398
-174263.14083257696,744511.7914520174,n2399
-174261.16441303262,744512.0976640105,n2400
-174259.18799348827,744512.4038760036,n2401
-174258.351381326,744512.533494575,n2402
-174256.38606840806,744512.9043653536,n2403
-174254.4207554901,744513.2752361324,n2404
-174252.45544257213,744513.6461069111,n2405
-174250.49012965418,744514.0169776899,n2406
-174248.52481673623,744514.3878484686,n2407
-174246.55950381828,744514.7587192474,n2408
-174244.59419090033,744515.1295900261,n2409
-174242.62887798238,744515.5004608048,n2410
-174240.6635650644,744515.8713315836,n2411
-174238.69825214645,744516.2422023623,n2412
-174237.48561876165,744516.4710362969,n2413
-174235.71333629845,744517.3978668482,n2414
-174233.94105383524,744518.3246973993,n2415
-174232.16877137206,744519.2515279505,n2416
-174230.39648890885,744520.1783585016,n2417
-174228.62420644565,744521.1051890529,n2418
-174226.85192398244,744522.0320196041,n2419
-174225.07964151923,744522.9588501552,n2420
-174223.30735905602,744523.8856807065,n2421
-174221.53507659285,744524.8125112577,n2422
-174219.76279412964,744525.7393418088,n2423
-174217.99051166643,744526.6661723601,n2424
-174216.21822920322,744527.5930029112,n2425
-174214.44594674002,744528.5198334624,n2426
-174213.91431766129,744528.7978535198,n2427
-174212.68672571247,744530.3767829061,n2428
-174211.45913376365,744531.9557122926,n2429
-174210.23154181484,744533.5346416789,n2430
-174209.00394986602,744535.1135710654,n2431
-174207.7763579172,744536.6925004517,n2432
-174206.5487659684,744538.2714298381,n2433
-174205.32117401957,744539.8503592245,n2434
-174204.09358207075,744541.4292886109,n2435
-174202.86599012194,744543.0082179973,n2436
-174201.63839817312,744544.5871473837,n2437
-174200.4108062243,744546.16607677,n2438
-174199.1832142755,744547.7450061565,n2439
-174197.95562232667,744549.3239355428,n2440
-174196.72803037785,744550.9028649293,n2441
-174195.89265004222,744551.9773315401,n2442
-174195.57503091253,744553.9519500067,n2443
-174195.25741178283,744555.9265684732,n2444
-174194.93979265314,744557.9011869398,n2445
-174194.62217352344,744559.8758054062,n2446
-174194.30455439375,744561.8504238728,n2447
-174193.98693526405,744563.8250423394,n2448
-174193.66931613436,744565.799660806,n2449
-174193.35169700466,744567.7742792725,n2450
-174193.03407787497,744569.7488977391,n2451
-174192.7164587453,744571.7235162056,n2452
-174192.63642589058,744572.2210755087,n2453
-174190.80541206905,744573.0256799988,n2454
-174188.97439824755,744573.8302844889,n2455
-174187.14338442602,744574.6348889789,n2456
-174185.31237060452,744575.439493469,n2457
-174183.48135678298,744576.244097959,n2458
-174181.65034296148,744577.0487024491,n2459
-174179.81932913995,744577.8533069391,n2460
-174177.98831531845,744578.6579114292,n2461
-174176.15730149692,744579.4625159192,n2462
-174174.32628767542,744580.2671204093,n2463
-174172.49527385389,744581.0717248993,n2464
-174170.66426003238,744581.8763293894,n2465
-174168.83324621085,744582.6809338795,n2466
-174167.77816542925,744583.1445692296,n2467
-174165.79148624575,744583.3750162341,n2468
-174163.80480706226,744583.6054632385,n2469
-174161.81812787877,744583.8359102431,n2470
-174159.83144869527,744584.0663572475,n2471
-174157.84476951178,744584.2968042521,n2472
-174156.8507662657,744584.4121047356,n2473
-174154.90565742436,744584.8774557809,n2474
-174152.96054858298,744585.342806826,n2475
-174151.01543974163,744585.8081578712,n2476
-174149.0703309003,744586.2735089165,n2477
-174147.1252220589,744586.7388599616,n2478
-174145.18011321756,744587.2042110069,n2479
-174143.2350043762,744587.6695620521,n2480
-174141.28989553486,744588.1349130973,n2481
-174139.3447866935,744588.6002641425,n2482
-174137.39967785214,744589.0656151877,n2483
-174135.4545690108,744589.5309662329,n2484
-174133.5094601694,744589.9963172781,n2485
-174131.56435132807,744590.4616683233,n2486
-174130.01939636472,744590.8312858952,n2487
-174128.03507320068,744591.0812090446,n2488
-174126.0507500366,744591.3311321939,n2489
-174124.06642687257,744591.5810553434,n2490
-174122.0821037085,744591.8309784927,n2491
-174120.09778054446,744592.0809016421,n2492
-174118.1134573804,744592.3308247915,n2493
-174116.12913421635,744592.5807479409,n2494
-174114.14481105228,744592.8306710903,n2495
-174112.16048788824,744593.0805942396,n2496
-174110.17616472417,744593.330517389,n2497
-174109.05102451154,744593.4722274645,n2498
-174107.13812612643,744594.0560251763,n2499
-174105.22522774135,744594.6398228881,n2500
-174103.31232935624,744595.2236206,n2501
-174101.39943097116,744595.8074183117,n2502
-174099.48653258604,744596.3912160235,n2503
-174097.57363420096,744596.9750137352,n2504
-174096.7331449433,744597.2315227633,n2505
-174094.74368071166,744597.436540009,n2506
-174092.75421648004,744597.6415572546,n2507
-174090.7647522484,744597.8465745003,n2508
-174088.77528801677,744598.051591746,n2509
-174086.78582378512,744598.2566089918,n2510
-174084.79635955347,744598.4616262374,n2511
-174082.80689532185,744598.6666434831,n2512
-174080.8174310902,744598.8716607288,n2513
-174078.82796685857,744599.0766779744,n2514
-174076.83850262692,744599.2816952202,n2515
-174074.84903839527,744599.4867124659,n2516
-174072.85957416365,744599.6917297115,n2517
-174108.78784151742,744591.4896194065,n2518
-174108.5246585233,744589.5070113486,n2519
-174108.2614755292,744587.5244032906,n2520
-174107.99829253508,744585.5417952326,n2521
-174107.73510954095,744583.5591871745,n2522
-174107.47192654683,744581.5765791166,n2523
-174107.2087435527,744579.5939710586,n2524
-174106.94556055858,744577.6113630006,n2525
-174106.6823775645,744575.6287549427,n2526
-174106.41919457036,744573.6461468847,n2527
-174106.15601157624,744571.6635388266,n2528
-174105.89282858212,744569.6809307687,n2529
-174105.629645588,744567.6983227107,n2530
-174105.36646259387,744565.7157146527,n2531
-174105.10327959977,744563.7331065946,n2532
-174104.84009660565,744561.7504985367,n2533
-174104.57691361153,744559.7678904787,n2534
-174104.3137306174,744557.7852824207,n2535
-174104.2563245921,744557.3528318031,n2536
-174104.51771865872,744555.3699870936,n2537
-174104.77911272534,744553.3871423842,n2538
-174105.040506792,744551.4042976747,n2539
-174105.3019008586,744549.4214529652,n2540
-174105.56329492523,744547.4386082557,n2541
-174105.82468899185,744545.4557635463,n2542
-174106.08608305847,744543.4729188367,n2543
-174106.12509321587,744543.1770013158,n2544
-174107.5941722292,744541.8198694679,n2545
-174109.06325124257,744540.46273762,n2546
-174110.5323302559,744539.1056057721,n2547
-174112.00140926926,744537.7484739242,n2548
-174113.4704882826,744536.3913420764,n2549
-174114.93956729595,744535.0342102285,n2550
-174116.40864630928,744533.6770783805,n2551
-174116.4806573887,744533.6105547093,n2552
-174118.2953623812,744532.7698134946,n2553
-174120.11006737372,744531.92907228,n2554
-174121.92477236627,744531.0883310653,n2555
-174123.7394773588,744530.2475898504,n2556
-174125.5541823513,744529.4068486358,n2557
-174127.36888734382,744528.5661074211,n2558
-174129.18359233634,744527.7253662064,n2559
-174130.20335621643,744527.252916124,n2560
-174132.17888405416,744526.9410030553,n2561
-174134.15441189188,744526.6290899867,n2562
-174136.12993972958,744526.317176918,n2563
-174138.1054675673,744526.0052638494,n2564
-174140.08099540503,744525.6933507808,n2565
-174142.05652324276,744525.3814377121,n2566
-174144.0320510805,744525.0695246435,n2567
-174146.0075789182,744524.7576115748,n2568
-174147.9831067559,744524.4456985062,n2569
-174149.95863459364,744524.1337854376,n2570
-174151.93416243137,744523.8218723689,n2571
-174152.8616535216,744523.6754322193,n2572
-174154.8521450088,744523.4806409478,n2573
-174156.84263649597,744523.2858496764,n2574
-174158.83312798318,744523.091058405,n2575
-174160.82361947035,744522.8962671335,n2576
-174162.81411095755,744522.7014758621,n2577
-174164.80460244472,744522.5066845906,n2578
-174166.79509393193,744522.3118933191,n2579
-174168.7855854191,744522.1171020478,n2580
-174170.7760769063,744521.9223107763,n2581
-174172.76656839348,744521.7275195048,n2582
-174174.75705988068,744521.5327282334,n2583
-174176.74755136785,744521.337936962,n2584
-174177.2333514261,744521.2903961352,n2585
-174179.22702348977,744521.1314253751,n2586
-174181.22069555343,744520.9724546149,n2587
-174183.2143676171,744520.8134838549,n2588
-174185.20803968076,744520.6545130947,n2589
-174187.20171174442,744520.4955423346,n2590
-174189.19538380808,744520.3365715746,n2591
-174191.18905587174,744520.1776008144,n2592
-174193.1827279354,744520.0186300543,n2593
-174195.17639999907,744519.8596592941,n2594
-174197.17007206273,744519.7006885341,n2595
-174199.16374412642,744519.541717774,n2596
-174201.15741619008,744519.3827470138,n2597
-174203.15108825374,744519.2237762538,n2598
-174205.1447603174,744519.0648054936,n2599
-174207.13843238106,744518.9058347335,n2600
-174209.13210444472,744518.7468639734,n2601
-174211.1257765084,744518.5878932133,n2602
-174212.93403829646,744518.4437066361,n2603
-174214.92761358648,744518.2835268526,n2604
-174216.9211888765,744518.1233470691,n2605
-174218.9147641665,744517.9631672855,n2606
-174220.9083394565,744517.8029875021,n2607
-174222.90191474653,744517.6428077186,n2608
-174224.89549003655,744517.4826279351,n2609
-174226.88906532657,744517.3224481515,n2610
-174228.8826406166,744517.1622683681,n2611
-174230.87621590658,744517.0020885846,n2612
-174232.8697911966,744516.8419088011,n2613
-174234.86336648662,744516.6817290175,n2614
-174236.85694177664,744516.521549234,n2615
-174237.4233646203,744518.4700671675,n2616
-174237.36111047896,744520.4690980383,n2617
-174237.2988563376,744522.4681289089,n2618
-174237.23660219627,744524.4671597796,n2619
-174237.17434805492,744526.4661906502,n2620
-174237.11209391357,744528.465221521,n2621
-174237.04983977223,744530.4642523916,n2622
-174236.98758563088,744532.4632832622,n2623
-174236.92533148953,744534.462314133,n2624
-174236.8630773482,744536.4613450036,n2625
-174236.8287971059,744537.562111332,n2626
-174237.13856761804,744539.537976264,n2627
-174237.44833813017,744541.5138411961,n2628
-174237.75810864233,744543.4897061281,n2629
-174238.06787915446,744545.4655710603,n2630
-174238.3776496666,744547.4414359924,n2631
-174238.68742017873,744549.4173009244,n2632
-174238.99719069086,744551.3931658565,n2633
-174239.306961203,744553.3690307885,n2634
-174239.61673171516,744555.3448957206,n2635
-174239.9265022273,744557.3207606528,n2636
-174239.94906216022,744557.4646587276,n2637
-174240.75645726526,744559.2944437271,n2638
-174241.56385237028,744561.1242287266,n2639
-174242.37124747533,744562.9540137261,n2640
-174243.17864258034,744564.7837987256,n2641
-174243.9860376854,744566.6135837251,n2642
-174244.7934327904,744568.4433687245,n2643
-174245.60082789545,744570.273153724,n2644
-174245.9800518369,744571.1325821194,n2645
-174238.04230605782,744558.0682158219,n2646
-174236.13554995542,744558.671772916,n2647
-174234.22879385302,744559.2753300102,n2648
-174232.3220377506,744559.8788871045,n2649
-174230.4152816482,744560.4824441986,n2650
-174228.5085255458,744561.0860012928,n2651
-174226.6017694434,744561.689558387,n2652
-174224.695013341,744562.2931154812,n2653
-174223.05146692766,744562.8133572133,n2654
-174221.27747292383,744563.736907577,n2655
-174219.50347891997,744564.6604579408,n2656
-174217.72948491614,744565.5840083044,n2657
-174215.95549091228,744566.5075586681,n2658
-174214.18149690845,744567.4311090319,n2659
-174212.4075029046,744568.3546593956,n2660
-174210.63350890076,744569.2782097594,n2661
-174208.85951489693,744570.201760123,n2662
-174207.08552089307,744571.1253104868,n2663
-174205.31152688924,744572.0488608505,n2664
-174203.84870364974,744572.8104141207,n2665
-174201.8514606915,744572.7054352378,n2666
-174199.8542177333,744572.6004563551,n2667
-174197.85697477506,744572.4954774723,n2668
-174195.85973181686,744572.3904985895,n2669
-174193.86248885863,744572.2855197067,n2670
-174203.1687571123,744574.6912843199,n2671
-174202.48881057487,744576.572154519,n2672
-174201.80886403742,744578.4530247182,n2673
-174201.1289175,744580.3338949175,n2674
-174200.44897096255,744582.2147651167,n2675
-174199.76902442513,744584.0956353159,n2676
-174199.08907788768,744585.976505515,n2677
-174198.40913135026,744587.8573757142,n2678
-174197.7291848128,744589.7382459134,n2679
-174197.0492382754,744591.6191161126,n2680
-174205.12742720402,744574.3482262262,n2681
-174206.40615075827,744575.8860383317,n2682
-174207.68487431254,744577.4238504372,n2683
-174208.9635978668,744578.9616625427,n2684
-174210.24232142107,744580.499474648,n2685
-174211.52104497532,744582.0372867535,n2686
-174212.7997685296,744583.575098859,n2687
-174214.07849208385,744585.1129109645,n2688
-174215.35721563813,744586.65072307,n2689
-174216.6359391924,744588.1885351755,n2690
-174217.91466274665,744589.726347281,n2691
-174219.19338630093,744591.2641593865,n2692
-174220.47210985518,744592.8019714919,n2693
-174221.75083340946,744594.3397835974,n2694
-174223.0295569637,744595.8775957029,n2695
-174224.09444876993,744597.1582505443,n2696
-174241.93387694677,744557.7106470669,n2697
-174243.7675465117,744557.9379031989,n2698
-174287.02584582055,744558.6729076623,n2699
-174285.75767316553,744560.2194321908,n2700
-174284.4895005105,744561.7659567192,n2701
-174283.22132785546,744563.3124812477,n2702
-174281.95315520043,744564.8590057761,n2703
-174280.6849825454,744566.4055303045,n2704
-174279.4168098904,744567.952054833,n2705
-174278.14863723537,744569.4985793614,n2706
-174276.88046458035,744571.0451038898,n2707
-174275.61229192532,744572.5916284183,n2708
-174274.3441192703,744574.1381529467,n2709
-174273.07594661525,744575.6846774751,n2710
-174271.80777396023,744577.2312020035,n2711
-174270.5396013052,744578.777726532,n2712
-174269.2714286502,744580.3242510604,n2713
-174269.5342638859,744582.6480886168,n2714
-174270.1395655381,744584.5542916253,n2715
-174270.74486719028,744586.4604946339,n2716
-174271.3501688425,744588.3666976424,n2717
-174271.9554704947,744590.272900651,n2718
-174336.02794675002,744699.698960033,n2719
-174336.3527631017,744697.7255127098,n2720
-174336.6775794534,744695.7520653865,n2721
-174337.0023958051,744693.7786180633,n2722
-174337.32721215676,744691.80517074,n2723
-174337.65202850846,744689.8317234168,n2724
-174337.97684486012,744687.8582760935,n2725
-174338.30166121182,744685.8848287703,n2726
-174338.62647756352,744683.911381447,n2727
-174338.9512939152,744681.9379341238,n2728
-174339.2761102669,744679.9644868005,n2729
-174340.70520335904,744676.8255645911,n2730
-174341.88362655864,744675.2096070538,n2731
-174343.06204975824,744673.5936495163,n2732
-174343.27684230937,744673.2991070786,n2733
-174280.67274613626,744712.0376675731,n2734
-174278.71815757797,744712.4614405875,n2735
-174276.76356901965,744712.8852136019,n2736
-174274.80898046133,744713.3089866163,n2737
-174272.85439190303,744713.7327596307,n2738
-174270.8998033447,744714.156532645,n2739
-174268.9452147864,744714.5803056594,n2740
-174266.9906262281,744715.0040786738,n2741
-174265.90846238876,744715.2387018789,n2742
-174263.91029348905,744715.3242650032,n2743
-174261.91212458935,744715.4098281275,n2744
-174259.91395568964,744715.4953912518,n2745
-174257.91578678993,744715.580954376,n2746
-174255.91761789023,744715.6665175003,n2747
-174253.91944899052,744715.7520806246,n2748
-174251.9212800908,744715.8376437488,n2749
-174249.92311119108,744715.9232068731,n2750
-174248.42827813898,744715.9872167705,n2751
-174247.42221606936,744717.7157534673,n2752
-174246.41615399977,744719.444290164,n2753
-174245.41009193016,744721.1728268609,n2754
-174244.40402986054,744722.9013635577,n2755
-174243.39796779095,744724.6299002544,n2756
-174242.39190572134,744726.3584369512,n2757
-174241.38584365172,744728.0869736479,n2758
-174240.37978158213,744729.8155103447,n2759
-174239.3737195125,744731.5440470416,n2760
-174238.3676574429,744733.2725837383,n2761
-174248.2600405582,744713.9943053032,n2762
-174248.09180297743,744712.001393836,n2763
-174247.92356539666,744710.0084823687,n2764
-174247.75532781592,744708.0155709015,n2765
-174247.58709023515,744706.0226594341,n2766
-174247.41885265437,744704.0297479668,n2767
-174247.2506150736,744702.0368364996,n2768
-174247.08237749283,744700.0439250323,n2769
-174246.91413991206,744698.051013565,n2770
-174246.89199540985,744697.788693861,n2771
-174247.30151971773,744695.8310703422,n2772
-174247.7110440256,744693.8734468234,n2773
-174248.1205683335,744691.9158233047,n2774
-174248.5300926414,744689.9581997859,n2775
-174248.93961694927,744688.0005762671,n2776
-174249.10737125247,744687.1986708295,n2777
-174248.8462833413,744685.2157857843,n2778
-174248.58519543012,744683.2329007391,n2779
-174248.32410751894,744681.2500156938,n2780
-174248.06301960777,744679.2671306486,n2781
-174247.8019316966,744677.2842456034,n2782
-174247.54084378545,744675.3013605581,n2783
-174247.27975587427,744673.3184755128,n2784
-174247.0186679631,744671.3355904676,n2785
-174246.75758005193,744669.3527054223,n2786
-174246.49649214075,744667.3698203771,n2787
-174246.23540422958,744665.3869353319,n2788
-174245.9743163184,744663.4040502866,n2789
-174246.91562878178,744663.5680006221,n2790
-174248.05205277866,744665.2137650339,n2791
-174249.18847677554,744666.8595294458,n2792
-174250.32490077242,744668.5052938575,n2793
-174251.4613247693,744670.1510582694,n2794
-174252.5977487662,744671.7968226813,n2795
-174253.7341727631,744673.4425870931,n2796
-174254.87059675998,744675.088351505,n2797
-174255.26903348687,744675.6653658828,n2798
-174256.40545770724,744677.3111301403,n2799
-174257.54188192758,744678.9568943979,n2800
-174258.67830614795,744680.6026586554,n2801
-174259.81473036832,744682.2484229129,n2802
