X,Y,L
-174356.6702754815,744728.4282865623,n141
-174354.6703766773,744728.4484055326,n142
-174352.6704778731,744728.4685245029,n143
-174350.67057906892,744728.4886434732,n144
-174348.6706802647,744728.5087624436,n145
-174346.6707814605,744728.528881414,n146
-174344.67088265633,744728.5490003843,n147
-174342.67098385212,744728.5691193546,n148
-174340.6710850479,744728.5892383249,n149
-174339.5804255482,744728.6002103532,n150
-174337.5857374695,744728.7458793914,n151
-174335.59104939082,744728.8915484298,n152
-174333.5963613121,744729.0372174681,n153
-174331.60167323344,744729.1828865064,n154
-174329.60698515474,744729.3285555447,n155
-174329.05166283692,744729.3691098895,n156
-174327.0554720345,744729.492488495,n157
-174325.05928123207,744729.6158671004,n158
-174323.0630904296,744729.7392457058,n159
-174321.06689962719,744729.8626243112,n160
-174319.07070882476,744729.9860029167,n161
-174317.07451802233,744730.1093815222,n162
-174315.07832721988,744730.2327601276,n163
-174313.08213641745,744730.356138733,n164
-174311.08594561502,744730.4795173384,n165
-174309.0897548126,744730.6028959439,n166
-174307.09356401017,744730.7262745494,n167
-174305.0973732077,744730.8496531548,n168
-174303.10118240528,744730.9730317602,n169
-174301.10499160286,744731.0964103657,n170
-174299.10880080043,744731.2197889711,n171
-174297.112609998,744731.3431675766,n172
-174295.11641919555,744731.466546182,n173
-174293.12022839312,744731.5899247874,n174
-174291.1240375907,744731.7133033929,n175
-174289.12784678827,744731.8366819983,n176
-174288.12987657645,744731.8983635635,n177
-174286.1328810746,744732.0079489892,n178
-174284.13588557273,744732.1175344149,n179
-174282.13889007084,744732.2271198404,n180
-174280.14189456898,744732.3367052661,n181
-174278.14489906712,744732.4462906918,n182
-174276.14790356526,744732.5558761175,n183
-174274.15090806337,744732.6654615432,n184
-174273.43011277282,744732.7050152922,n185
-174271.43331395066,744732.8181279077,n186
-174269.4365151285,744732.9312405234,n187
-174268.5313491777,744732.9825154375,n188
-174266.5345503178,744733.0956273869,n189
-174264.53775145792,744733.2087393365,n190
-174262.540952598,744733.3218512859,n191
-174260.54415373813,744733.4349632354,n192
-174258.54735487822,744733.5480751848,n193
-174256.5505560183,744733.6611871343,n194
-174254.55375715843,744733.7742990837,n195
-174252.55695829852,744733.8874110332,n196
-174250.56015943864,744734.0005229827,n197
-174248.56336057873,744734.1136349321,n198
-174246.56656171882,744734.2267468816,n199
-174244.56976285894,744734.339858831,n200
-174242.57296399903,744734.4529707805,n201
-174240.57616513912,744734.56608273,n202
-174238.57936627924,744734.6791946795,n203
-174237.51383550427,744734.7395534194,n204
-174235.51920420135,744734.8859978301,n205
-174233.52457289843,744735.0324422409,n206
-174231.52994159554,744735.1788866515,n207
-174229.53531029262,744735.3253310623,n208
-174227.5406789897,744735.471775473,n209
-174225.54604768677,744735.6182198838,n210
-174223.55141638388,744735.7646642944,n211
-174221.55678508096,744735.9111087052,n212
-174219.56215377804,744736.0575531159,n213
-174218.40411551288,744736.1425754612,n214
-174216.40539463586,744736.2140936812,n215
-174214.40667375884,744736.2856119012,n216
-174212.40795288185,744736.3571301213,n217
-174210.40923200484,744736.4286483413,n218
-174208.41051112782,744736.5001665613,n219
-174206.4117902508,744736.5716847813,n220
-174204.41306937378,744736.6432030015,n221
-174203.37997202468,744736.6801692854,n222
-174201.3801955696,744736.710071288,n223
-174199.38041911455,744736.7399732907,n224
-174197.38064265947,744736.7698752934,n225
-174195.38086620442,744736.799777296,n226
-174193.38108974934,744736.8296792987,n227
-174191.3813132943,744736.8595813015,n228
-174189.3815368392,744736.8894833041,n229
-174187.38176038416,744736.9193853068,n230
-174185.38198392908,744736.9492873094,n231
-174183.382207474,744736.9791893121,n232
-174182.8001298374,744736.9878929284,n233
-174180.80734846098,744737.1576644978,n234
-174178.81456708454,744737.3274360673,n235
-174176.82178570813,744737.4972076367,n236
-174174.8290043317,744737.6669792063,n237
-174172.8362229553,744737.8367507757,n238
-174170.84344157885,744738.0065223451,n239
-174168.85066020244,744738.1762939146,n240
-174166.85787882603,744738.346065484,n241
-174166.3893345648,744738.3859823035,n242
-174164.39689405853,744738.5597086085,n243
-174162.4044535523,744738.7334349134,n244
-174160.41201304604,744738.9071612185,n245
-174158.41957253977,744739.0808875235,n246
-174156.92423949746,744739.211269677,n247
-174154.94604366773,744739.5057883678,n248
-174152.96784783798,744739.8003070585,n249
-174150.98965200825,744740.0948257493,n250
-174149.0114561785,744740.3893444401,n251
-174147.03326034878,744740.6838631309,n252
-174145.05506451902,744740.9783818215,n253
-174143.0768686893,744741.2729005123,n254
-174142.766902002,744741.3190491198,n255
-174484.40670390733,744735.9559498772,n256
-174484.23314005122,744737.9484045411,n257
-174484.05957619514,744739.940859205,n258
-174483.88601233903,744741.9333138689,n259
-174483.71244848293,744743.9257685329,n260
-174483.53888462682,744745.9182231969,n261
-174483.47377235207,744746.6656902008,n262
-174483.8150474629,744748.6363579299,n263
-174484.15632257372,744750.6070256591,n264
-174484.49759768456,744752.5776933882,n265
-174484.8388727954,744754.5483611174,n266
-174485.1801479062,744756.5190288465,n267
-174485.52142301705,744758.4896965757,n268
-174485.8626981279,744760.4603643048,n269
-174486.20397323873,744762.431032034,n270
-174486.54524834955,744764.4016997631,n271
-174486.55893864768,744764.4807533708,n272
-174486.89663988908,744766.4520366766,n273
-174487.23434113048,744768.4233199824,n274
-174487.57204237184,744770.394603288,n275
-174487.90974361324,744772.3658865938,n276
-174488.24744485464,744774.3371698996,n277
-174488.58514609604,744776.3084532054,n278
-174488.9228473374,744778.2797365111,n279
-174489.2605485788,744780.2510198168,n280
-174489.5982498202,744782.2223031226,n281
-174489.9359510616,744784.1935864284,n282
-174490.01034957782,744784.6278772601,n283
-174490.11637612217,744786.6250648757,n284
-174490.2224026665,744788.6222524913,n285
-174490.32842921084,744790.6194401069,n286
-174490.43445575517,744792.6166277225,n287
-174490.54048229952,744794.6138153381,n288
-174490.64650884384,744796.6110029537,n289
-174490.7525353882,744798.6081905693,n290
-174490.85856193252,744800.6053781848,n291
-174490.96458847687,744802.6025658004,n292
-174491.0706150212,744804.599753416,n293
-174491.17664156554,744806.5969410316,n294
-174491.2826681099,744808.5941286472,n295
-174491.38869465422,744810.5913162628,n296
-174491.4876633431,744812.4555573453,n297
-174491.52559623058,744814.4551975869,n298
-174491.56352911808,744816.4548378286,n299
-174491.60146200555,744818.4544780703,n300
